2017-11-10/07:13:55	GET		/server_log.txt		HTTP/1.1 200 OK
2017-11-10/07:13:56	GET		/favicon.ico		HTTP/1.1 200 OK
2017-11-10/07:13:56	GET		/server_log.txt		HTTP/1.1 200 OK
2017-11-10/07:13:56	GET		/favicon.ico		HTTP/1.1 200 OK
2017-11-10/07:14:19	GET		/server_log.		HTTP/1.1 415 Unsupported Media Type
2017-11-10/07:30:57	GET		/index.html		HTTP/1.1 200 OK
2017-11-10/07:30:59	GET		/page2.html		HTTP/1.1 200 OK
2017-11-10/07:30:59	GET		/beer.jpg		HTTP/1.1 200 OK
2017-11-10/07:30:59	GET		/tp_it.jpg		HTTP/1.1 200 OK
2017-11-10/07:31:05	GET		/jugg.png		HTTP/1.1 200 OK
2017-11-10/07:31:10	GET		/jugg.gif		HTTP/1.1 200 OK
2017-11-10/07:31:12	GET		/jugg.		HTTP/1.1 415 Unsupported Media Type
2017-11-10/07:31:15	GET		/jugg.a		HTTP/1.1 415 Unsupported Media Type
2017-11-10/07:31:20	GET		/jug.gif		HTTP/1.1 404 Not Found
2017-11-10/07:31:30	GET		/server_log.txt		HTTP/1.1 200 OK
2017-11-10/07:31:37	GET		/server_log.txt		HTTP/1.1 200 OK
2017-11-10/07:31:41	GET		/server_log.txt		HTTP/1.1 200 OK
